freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5805,-103,45,78,384,8,10,53
5805,-103,38,78,384,9,8,54
5805,-103,55,78,384,8,12,57
5805,-103,50,78,384,9,9,54
5805,-103,50,78,384,9,10,54
5805,-103,46,78,384,11,12,55
5805,-103,47,78,384,10,8,54
5805,-103,51,78,384,9,7,53
5805,-103,48,78,384,11,8,56
5805,-103,30,78,384,10,11,55
5805,-103,55,78,384,10,9,55
5805,-103,56,78,384,10,10,56
5805,-103,46,78,384,11,9,54
5805,-103,27,78,384,9,10,55
5805,-103,60,78,384,8,6,53
5805,-103,51,78,384,10,8,55
5805,-103,39,78,384,10,10,55
5805,-103,45,78,384,11,8,54
5805,-103,52,78,384,10,9,54
5805,-103,48,78,384,9,10,56
5805,-103,37,78,384,10,9,54
5805,-103,49,78,384,9,10,55
5805,-103,45,78,384,10,9,56
5805,-103,53,78,384,10,9,55
5805,-103,26,78,384,11,7,55
5805,-103,38,78,384,8,8,55
5805,-103,45,78,384,9,8,55
5805,-103,49,78,384,10,9,54
5805,-103,50,78,384,9,9,55
5805,-103,49,78,384,10,9,55
5805,-103,43,78,384,9,9,54
5805,-103,60,78,384,10,8,56
5805,-103,50,78,384,10,10,55
5805,-103,48,78,384,10,9,54
5805,-103,26,78,384,12,8,54
5805,-103,57,78,384,9,11,55
5805,-103,40,78,384,11,8,55
5805,-103,48,78,384,10,9,55
5805,-103,46,78,384,8,11,53
5805,-103,58,78,384,11,10,57
5805,-103,46,78,384,11,7,54
5805,-103,53,78,384,9,9,54
5805,-103,46,78,384,11,7,54
5805,-103,49,78,384,10,10,54
5805,-103,53,78,384,10,9,54
5805,-103,35,82,379,11,7,55
5805,-103,45,81,381,9,9,57
5805,-103,58,81,381,10,9,57
5805,-103,55,81,381,9,12,58
5805,-103,55,81,381,10,7,57
5805,-103,51,81,381,10,7,57
5805,-103,47,81,381,9,10,57
5805,-103,75,81,381,10,8,57
5805,-103,44,81,381,9,9,57
5805,-103,49,81,381,9,9,56
5805,-103,45,80,381,12,9,57
5805,-103,68,81,381,9,10,58
5805,-103,46,81,381,12,11,57
5805,-103,28,81,381,8,9,56
5805,-103,44,81,381,8,11,59
5805,-103,35,83,379,9,10,56
5805,-103,32,81,381,11,9,56
5805,-103,53,84,378,8,7,59
5805,-103,31,83,378,9,9,57
5805,-103,36,81,380,9,8,57
5805,-103,48,84,378,7,10,60
5805,-103,77,84,378,8,9,58
5805,-103,36,84,378,8,9,59
5805,-103,38,81,380,9,9,56
