freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5805,-102,51,39,422,53,15,60
5805,-102,32,38,423,54,16,58
5805,-102,41,38,423,54,15,58
5805,-102,39,38,423,53,16,59
5805,-102,39,39,422,53,14,59
5805,-102,49,38,422,52,15,58
5805,-102,34,38,423,54,15,58
5805,-102,41,37,423,53,17,58
5805,-102,30,38,422,54,14,58
5805,-102,45,40,421,53,15,60
5805,-102,36,38,422,53,13,58
5805,-102,40,39,422,52,13,59
5805,-102,46,39,421,54,15,59
5805,-102,35,38,423,54,14,58
5805,-102,39,37,424,55,16,58
5805,-102,35,37,423,53,14,57
5805,-102,52,38,423,54,15,58
5805,-102,35,37,423,54,16,57
5805,-102,37,38,422,53,15,59
5805,-102,47,80,381,8,10,59
5805,-102,45,79,381,8,9,58
5805,-102,35,78,382,8,9,57
5805,-102,36,78,382,8,6,55
5805,-102,51,81,379,6,11,60
5805,-102,32,80,381,8,10,59
5805,-102,56,80,381,7,10,59
5805,-102,34,78,382,9,8,56
5805,-102,67,80,380,7,10,60
5805,-102,55,81,380,7,9,59
5805,-102,46,80,381,7,9,59
5805,-102,35,79,381,8,10,59
5805,-102,98,83,377,5,10,62
5805,-102,53,81,380,7,9,59
5805,-102,43,78,383,9,7,57
5805,-102,49,80,381,8,10,59
5805,-102,51,80,381,8,10,58
5805,-102,36,80,380,9,10,59
5805,-102,42,79,381,8,9,57
5805,-102,34,80,381,8,7,58
5805,-102,60,80,380,8,8,59
5805,-102,32,78,382,8,9,58
5805,-102,69,82,378,7,9,60
5805,-102,52,81,380,8,9,60
5805,-102,55,80,380,8,8,58
5805,-102,47,81,380,8,9,59
5805,-102,64,81,380,9,9,59
5805,-102,36,79,381,8,8,57
5805,-102,34,79,382,9,9,58
5805,-102,29,78,382,9,9,56
5805,-102,65,81,379,8,8,59
5805,-102,45,38,422,53,17,58
5805,-102,36,39,421,53,14,59
5805,-102,44,40,421,52,17,60
5805,-102,33,38,422,54,12,58
5805,-102,39,39,422,53,14,60
5805,-102,45,38,423,54,14,58
5805,-102,32,39,421,53,15,60
5805,-102,41,38,423,53,15,58
5805,-102,35,37,424,54,14,57
5805,-102,40,38,422,53,11,58
5805,-102,34,38,422,52,15,58
5805,-102,34,38,423,54,15,59
5805,-102,39,37,424,55,16,58
5805,-102,47,39,422,52,15,60
5805,-102,24,36,424,55,14,56
5805,-102,35,37,423,54,16,58
5805,-102,43,40,421,51,14,60
5805,-102,35,38,422,54,16,58
5805,-102,42,39,422,53,15,59
5805,-102,34,38,423,53,15,58
5805,-102,53,39,422,52,14,61
5805,-102,33,37,423,55,16,57
5805,-102,39,38,423,54,16,59
5805,-102,34,38,422,53,14,59
5805,-102,43,38,423,54,15,59
5805,-102,35,37,423,54,16,57
5805,-102,32,38,422,53,14,57
5805,-102,37,38,422,53,16,58
5805,-102,47,39,421,52,16,59
5805,-102,57,39,422,51,16,60
5805,-102,42,38,422,54,16,58
5805,-102,39,38,423,54,14,58
5805,-102,43,37,424,55,13,58
5805,-102,53,38,423,55,15,58
5805,-102,45,39,421,52,14,59
5805,-102,48,41,419,51,16,61
5805,-102,47,39,422,53,16,60
5805,-102,49,39,422,52,17,59
5805,-102,31,36,424,56,16,57
5805,-102,40,39,421,53,14,60
5805,-102,43,39,421,52,16,60
5805,-102,33,39,422,52,16,59
5805,-102,40,38,422,53,13,59
5805,-102,30,37,424,55,16,57
5805,-102,44,37,423,53,16,58
5805,-102,44,37,423,54,15,57
5805,-102,45,38,423,53,14,59
5805,-102,52,41,420,50,15,61
5805,-102,35,37,423,55,15,58
5805,-102,44,38,423,52,13,59
5805,-102,37,37,423,54,14,58
5805,-102,36,38,423,52,15,58
5805,-102,28,36,424,55,15,57
5805,-102,40,39,422,52,12,58
5805,-102,56,38,422,52,16,58
5805,-102,39,38,423,53,16,58
5805,-102,29,37,424,54,15,58
5805,-102,42,37,423,53,14,57
5805,-102,44,38,422,52,16,59
5805,-102,46,39,421,52,16,60
5805,-102,49,39,422,52,17,60
5805,-102,39,36,424,54,15,57
5805,-102,54,38,422,54,15,59
5805,-102,40,38,422,53,13,58
5805,-102,35,38,422,53,14,58
5805,-102,34,37,423,54,17,58
5805,-102,40,38,423,53,16,59
5805,-102,34,37,424,54,15,58
5805,-102,42,38,423,51,17,59
5805,-102,27,37,424,54,17,57
5805,-102,37,37,424,53,16,58
5805,-102,33,37,424,55,17,58
5805,-102,28,36,425,55,14,57
5805,-102,36,37,423,54,14,57
5805,-102,51,39,421,52,15,60
5805,-102,35,37,423,53,16,58
5805,-102,47,39,421,51,15,59
5805,-102,34,38,422,52,13,58
5805,-102,44,39,422,52,14,59
5805,-102,33,37,423,54,16,57
5805,-102,29,38,422,52,13,58
5805,-102,51,40,421,50,15,60
5805,-102,39,37,423,54,16,58
5805,-102,46,39,421,52,17,60
5805,-102,35,38,423,53,17,59
5805,-102,31,38,423,52,13,59
5805,-102,28,36,424,54,14,56
5805,-102,35,39,422,53,16,60
5805,-102,35,38,423,53,16,58
5805,-102,50,39,421,51,13,60
5805,-102,45,38,423,53,16,58
5805,-102,31,37,423,54,15,57
5805,-102,37,37,423,55,15,57
