freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5805,-108,55,87,380,7,8,56
5805,-108,40,87,380,6,8,54
5805,-108,46,87,380,7,8,55
5805,-108,52,87,380,7,10,55
5805,-108,33,87,380,6,9,55
5805,-108,51,87,380,7,8,55
5805,-108,52,87,380,6,8,55
5805,-108,52,87,380,5,12,56
5805,-108,39,87,380,7,10,55
5805,-108,43,87,380,4,9,55
5805,-108,48,87,380,6,9,55
5805,-108,52,87,380,7,9,56
5805,-108,51,87,380,7,9,56
5805,-108,52,87,380,5,9,56
5805,-108,52,87,380,7,10,55
5805,-108,52,87,380,6,10,56
5805,-108,26,87,380,5,8,55
5805,-108,30,87,380,5,10,55
5805,-108,56,87,380,6,10,56
5805,-108,45,87,380,5,9,56
5805,-108,43,87,380,4,13,56
5805,-108,48,87,380,6,9,56
5805,-108,72,87,380,7,9,56
5805,-108,36,87,380,8,9,54
5805,-108,58,87,380,6,8,54
5805,-108,33,87,380,7,7,55
5805,-108,44,87,380,7,10,55
5805,-108,48,87,380,6,10,55
5805,-108,51,87,380,6,8,55
5805,-108,46,87,380,6,6,54
5805,-108,46,87,380,6,8,55
5805,-108,48,87,380,6,10,56
5805,-108,51,87,380,6,9,55
5805,-108,36,87,380,5,9,56
5805,-108,41,87,380,7,10,56
5805,-108,40,87,380,6,9,55
5805,-108,64,87,380,7,8,54
5805,-108,37,87,380,6,10,55
5805,-108,33,87,380,6,10,55
5805,-108,46,87,380,7,9,56
5805,-108,50,87,380,6,9,56
5805,-108,47,87,380,6,8,54
5805,-108,42,87,380,6,8,56
5805,-108,58,87,380,7,9,55
5805,-108,64,87,380,6,9,56
5805,-108,59,87,380,8,9,56
5805,-108,35,87,380,6,8,55
5805,-108,37,87,380,6,10,56
5805,-108,40,87,380,6,9,56
5805,-108,41,87,380,7,9,56
5805,-108,59,87,380,7,8,55
5805,-108,42,87,380,6,10,55
5805,-108,36,87,380,8,8,55
5805,-108,36,87,380,6,10,55
5805,-108,54,87,380,6,9,55
5805,-108,46,87,380,6,8,55
5805,-108,59,87,380,5,11,55
5805,-108,35,87,380,6,10,56
5805,-108,57,87,380,6,9,56
5805,-108,47,87,380,6,9,55
5805,-108,49,87,380,5,10,55
5805,-108,43,87,380,6,9,55
5805,-108,45,87,380,7,8,55
5805,-108,46,87,380,7,11,56
5805,-108,44,87,380,7,10,56
5805,-108,41,87,380,7,9,56
5805,-108,52,87,380,6,9,55
5805,-108,43,87,380,5,10,55
5805,-108,47,87,380,7,10,56
5805,-108,27,87,380,6,10,56
5805,-108,49,87,380,7,9,56
5805,-108,52,87,380,7,8,55
5805,-108,56,87,380,4,9,54
5805,-108,44,87,380,7,11,56
5805,-108,46,87,380,6,8,55
5805,-108,49,87,380,8,9,55
5805,-108,33,87,380,9,9,55
5805,-108,40,87,380,7,11,56
5805,-108,51,87,380,6,10,57
5805,-108,47,87,380,7,10,55
5805,-108,40,87,380,6,9,56
5805,-108,46,87,380,6,7,55
5805,-108,38,87,380,7,11,55
5805,-108,44,87,380,6,10,55
5805,-108,44,87,380,7,10,55
5805,-108,52,87,380,6,9,55
5805,-108,48,87,380,7,9,55
5805,-108,41,87,380,7,8,55
5805,-108,56,87,380,6,9,56
5805,-108,37,87,380,7,10,55
5805,-108,52,87,380,5,9,55
5805,-108,47,87,380,7,9,56
5805,-108,35,87,380,6,11,57
5805,-108,47,87,380,5,10,56
5805,-108,39,87,380,6,9,56
5805,-108,53,87,380,6,11,57
5805,-108,54,87,380,7,10,56
5805,-108,39,87,380,5,10,56
5805,-108,40,87,380,6,11,56
5805,-108,58,87,380,6,10,56
5805,-108,38,87,380,6,10,55
5805,-108,35,87,380,7,9,56
5805,-108,56,87,380,7,10,56
5805,-108,53,87,380,6,10,56
5805,-108,46,87,380,6,11,55
5805,-108,39,87,380,6,11,56
5805,-108,45,87,380,7,9,56
5805,-108,40,87,380,7,9,56
5805,-108,35,87,380,8,10,55
5805,-108,51,87,380,5,10,57
5805,-108,32,87,380,7,10,56
5805,-108,50,87,380,6,9,56
5805,-108,42,87,380,7,10,55
5805,-108,46,87,380,7,10,56
5805,-108,51,87,380,5,9,55
5805,-108,42,87,380,6,10,56
5805,-108,40,87,380,6,10,55
5805,-108,43,87,380,6,10,56
5805,-108,45,87,380,7,8,54
5805,-108,33,87,380,7,7,54
5805,-108,53,87,380,6,9,55
5805,-108,36,87,380,6,10,56
5805,-108,45,87,380,6,10,55
5805,-108,57,87,380,6,11,56
5805,-108,40,87,380,6,9,55
5805,-108,59,87,380,6,9,55
5805,-108,49,87,380,6,10,56
5805,-108,42,87,380,7,11,56
5805,-108,44,87,380,6,8,55
5805,-108,45,87,380,7,11,55
5805,-108,42,87,380,5,10,56
5805,-108,47,87,380,8,10,55
5805,-108,45,87,380,5,10,55
5805,-108,45,87,380,7,9,55
5805,-108,35,87,380,6,8,55
5805,-108,47,87,380,6,5,55
5805,-108,46,87,380,6,11,55
5805,-108,50,87,380,6,9,57
5805,-108,44,87,380,6,8,55
5805,-108,59,87,380,7,10,55
5805,-108,38,87,380,5,8,55
5805,-108,42,87,380,5,9,55
5805,-108,49,87,380,6,7,56
5805,-108,61,87,380,6,9,55
5805,-108,40,87,380,5,10,56
5805,-108,56,87,380,5,9,56
5805,-108,43,87,380,7,8,56
5805,-108,36,87,380,6,9,55
5805,-108,50,87,380,6,10,56
5805,-108,43,87,380,6,11,56
5805,-108,49,87,380,5,11,55
5805,-108,40,87,380,6,10,56
5805,-108,40,87,380,7,8,55
5805,-108,38,87,380,6,10,56
5805,-108,53,87,380,6,10,55
5805,-108,41,87,380,6,10,56
5805,-108,47,87,380,5,10,56
5805,-108,44,87,380,6,9,55
5805,-108,30,87,380,6,10,56
5805,-108,45,87,380,6,10,55
5805,-108,46,90,377,7,9,57
5805,-108,33,90,377,4,10,57
5805,-108,41,90,377,5,11,58
5805,-108,30,90,377,5,10,58
5805,-108,39,90,377,4,9,57
5805,-108,48,90,377,4,8,57
5805,-108,32,90,377,6,8,57
5805,-108,52,90,377,4,10,58
5805,-108,54,90,377,6,9,58
5805,-108,44,90,377,5,11,58
5805,-108,33,90,377,5,9,57
5805,-108,31,90,377,4,9,57
5805,-108,41,90,377,5,9,57
5805,-108,59,90,377,4,9,58
5805,-108,34,89,377,6,11,56
5805,-108,42,90,377,4,9,58
5805,-108,40,90,377,6,10,57
5805,-108,46,90,377,5,9,57
5805,-108,51,90,377,5,10,58
5805,-108,48,90,377,5,10,58
5805,-108,44,90,377,4,9,57
5805,-108,33,90,377,5,11,58
5805,-108,36,90,377,4,10,57
5805,-108,46,90,377,5,11,57
5805,-108,35,90,377,4,9,58
5805,-108,42,90,377,5,10,57
5805,-108,54,90,377,6,10,57
5805,-108,33,90,377,6,11,58
5805,-108,51,90,377,5,9,57
5805,-108,55,90,377,6,9,57
5805,-108,30,90,377,5,12,58
5805,-108,41,90,377,5,11,58
5805,-108,45,90,377,5,8,56
5805,-108,32,89,377,5,9,56
5805,-108,65,90,377,5,10,57
5805,-108,45,90,377,3,9,57
5805,-108,30,90,377,4,9,57
5805,-108,42,90,377,5,9,57
5805,-108,69,90,377,4,9,57
5805,-108,60,90,377,3,10,58
5805,-108,34,90,377,5,7,57
5805,-108,41,90,377,5,9,57
5805,-108,40,90,377,5,9,56
5805,-108,31,90,377,5,9,57
5805,-108,45,90,377,5,12,57
5805,-108,32,90,377,3,9,57
5805,-108,47,90,377,4,8,57
5805,-108,56,90,377,5,13,59
5805,-108,64,90,377,5,11,58
5805,-108,51,90,377,4,9,57
5805,-108,66,90,377,3,11,58
5805,-108,32,90,377,5,10,57
5805,-108,60,90,377,5,8,58
5805,-108,36,90,377,4,11,58
5805,-108,33,90,377,6,10,58
5805,-108,51,90,377,5,10,57
5805,-108,61,90,377,4,8,58
5805,-108,37,90,377,3,10,57
5805,-108,33,90,377,5,10,58
5805,-108,48,90,377,5,7,57
5805,-108,52,90,377,4,10,58
5805,-108,45,90,377,5,10,58
5805,-108,49,90,377,4,10,58
5805,-108,31,90,377,5,10,57
5805,-108,61,90,377,4,11,58
5805,-108,56,90,377,5,9,57
5805,-108,37,90,377,4,9,58
5805,-108,56,90,377,5,9,57
5805,-108,38,90,377,5,11,57
5805,-108,34,90,377,4,9,57
5805,-108,40,90,377,6,9,58
5805,-108,50,90,377,6,10,58
5805,-108,41,90,377,5,10,57
5805,-108,51,90,377,4,9,57
5805,-108,55,90,377,6,10,58
5805,-108,48,90,377,5,12,57
5805,-108,47,90,377,5,6,56
5805,-108,39,90,377,5,9,57
5805,-108,55,90,377,6,10,58
5805,-108,35,90,377,3,8,55
5805,-108,44,90,377,4,10,57
5805,-108,44,90,377,5,8,57
5805,-108,44,90,377,5,9,57
5805,-108,34,90,377,5,10,58
5805,-108,50,90,377,5,9,58
5805,-108,44,90,377,5,9,58
5805,-108,54,90,377,4,9,58
5805,-108,62,90,377,7,9,58
5805,-108,37,90,377,4,11,58
5805,-108,44,90,377,5,10,58
5805,-108,32,90,377,5,10,57
5805,-108,33,90,377,4,9,57
5805,-108,45,90,377,5,8,57
5805,-108,33,90,377,5,9,57
5805,-108,36,89,378,4,8,56
5805,-108,36,90,377,5,10,57
5805,-108,55,90,377,6,9,57
5805,-108,27,90,377,5,11,57
5805,-108,30,90,377,5,10,57
5805,-108,37,90,377,5,10,58
5805,-108,36,90,377,4,10,57
5805,-108,48,90,377,6,11,58
5805,-108,35,90,377,3,10,57
5805,-108,55,90,377,4,10,58
5805,-108,34,90,377,4,7,57
5805,-108,48,90,377,4,11,58
5805,-108,39,90,377,5,9,57
5805,-108,59,90,377,4,9,57
5805,-108,47,90,377,5,11,58
5805,-108,57,90,377,5,8,57
5805,-108,33,90,377,4,9,58
5805,-108,45,90,377,3,10,58
5805,-108,44,90,377,4,8,57
5805,-108,62,90,377,3,9,58
5805,-108,39,90,377,5,10,57
5805,-108,48,90,377,4,10,58
5805,-108,42,90,377,3,9,57
5805,-108,60,90,377,5,9,57
5805,-108,46,90,377,5,10,57
5805,-108,52,90,377,5,10,58
5805,-108,58,90,377,7,7,57
5805,-108,51,89,377,5,10,57
5805,-108,34,90,377,4,9,57
5805,-108,28,90,377,5,12,58
5805,-108,70,90,377,3,10,57
5805,-108,58,90,377,5,9,57
5805,-108,31,90,377,4,9,57
5805,-108,38,90,377,4,9,57
