freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-107,29,81,385,9,13,54
2412,-107,50,81,385,12,17,58
2412,-107,43,81,385,7,11,55
2412,-107,113,73,392,27,16,55
2412,-107,93,77,389,24,15,57
2412,-107,118,77,388,23,16,56
2412,-107,89,75,391,25,12,54
2412,-107,76,75,390,26,15,54
2412,-107,35,81,385,6,9,53
2412,-107,38,74,391,16,14,50
2412,-107,54,74,391,18,5,52
2412,-107,36,74,392,19,16,51
2412,-107,40,74,392,19,18,51
2412,-107,36,74,391,19,14,50
2412,-107,41,74,391,19,11,50
2412,-107,67,74,392,17,4,50
2412,-107,38,74,392,15,13,51
2412,-107,122,71,395,21,7,52
2412,-107,25,74,392,18,12,49
2412,-107,24,74,392,16,15,52
2412,-107,56,81,385,16,10,57
2412,-107,54,81,385,6,6,54
2412,-107,46,81,385,7,13,54
2412,-107,40,81,385,5,13,55
2412,-107,40,81,385,7,13,54
2412,-107,26,81,385,7,12,54
2412,-107,36,81,385,8,13,54
2412,-107,34,81,385,9,13,54
2412,-107,37,81,385,6,13,53
2412,-107,36,81,385,7,11,52
2412,-107,37,81,385,7,13,53
2412,-107,34,81,385,7,13,53
2412,-107,34,81,385,7,9,53
2412,-107,42,81,385,7,12,55
2412,-107,49,81,385,8,12,54
2412,-107,35,81,385,7,11,54
2412,-107,60,81,385,9,12,54
2412,-107,52,81,385,8,12,55
2412,-107,46,81,385,5,12,54
2412,-107,42,81,385,7,12,54
2412,-107,32,81,385,5,14,53
2412,-107,32,81,385,6,13,53
2412,-107,39,81,385,8,12,54
2412,-107,35,81,385,8,9,54
2412,-107,35,81,385,7,14,54
2412,-107,43,81,385,6,11,54
2412,-107,50,81,385,8,11,54
2412,-107,37,81,385,6,12,53
2412,-107,51,81,385,8,11,53
2412,-107,26,81,385,9,13,54
2412,-107,44,81,385,7,12,54
2412,-107,57,81,385,11,13,55
2412,-107,53,81,385,9,10,54
2412,-107,25,81,385,6,13,54
2412,-107,39,81,385,6,9,53
2412,-107,28,81,385,7,13,53
2412,-107,31,81,385,6,12,54
2412,-107,65,81,385,7,12,54
2412,-107,61,81,385,8,12,54
2412,-107,44,81,385,7,13,53
2412,-107,25,81,385,7,11,54
2412,-107,38,81,385,5,11,53
2412,-107,48,79,387,18,13,58
2412,-107,74,75,390,21,11,57
2412,-107,41,79,386,21,17,58
2412,-107,43,74,392,6,12,47
2412,-107,29,81,385,7,8,54
2412,-107,34,81,385,6,10,54
2412,-107,104,77,389,22,17,57
2412,-107,38,81,385,14,15,57
2412,-107,42,81,385,9,12,55
2412,-107,31,81,385,6,12,53
2412,-107,27,81,385,6,13,53
2412,-107,25,81,385,8,13,54
2412,-107,45,81,385,15,17,58
2412,-107,43,81,385,6,13,54
2412,-107,38,81,385,5,14,54
2412,-107,26,81,385,6,14,52
2412,-107,150,79,386,17,17,56
2412,-107,101,74,391,24,17,56
2412,-107,49,81,385,11,12,55
2412,-107,83,79,386,14,10,56
2412,-107,68,80,385,17,9,57
2412,-107,93,81,385,15,13,57
2412,-107,37,81,385,6,11,53
2412,-107,79,73,392,22,13,53
2412,-107,49,81,385,11,13,57
2412,-107,50,81,385,9,13,55
2412,-107,32,81,385,5,13,55
2412,-107,41,81,385,6,10,53
2412,-107,39,81,385,8,11,54
2412,-107,34,81,385,6,12,54
2412,-107,64,81,385,7,10,55
2412,-107,24,81,385,6,10,52
2412,-107,48,74,391,13,15,49
2412,-107,76,79,386,14,13,57
2412,-107,31,74,391,15,10,51
2412,-107,87,81,385,14,8,57
2412,-107,91,79,387,19,13,57
2412,-107,82,81,385,13,16,56
2412,-107,102,81,385,13,12,57
2412,-107,94,81,385,14,12,57
2412,-107,148,81,385,12,15,57
2412,-107,130,81,385,13,13,55
2412,-107,116,81,385,12,11,55
2412,-107,32,81,385,7,14,55
2412,-107,40,81,385,8,13,55
2412,-107,23,81,385,7,13,53
2412,-107,26,81,385,8,12,54
2412,-107,117,74,392,18,15,55
2412,-107,33,74,392,8,13,48
2412,-107,42,74,392,8,14,48
2412,-107,40,74,392,9,13,48
2412,-107,41,74,392,7,11,48
2412,-107,44,74,392,7,11,48
2412,-107,75,74,391,17,14,53
2412,-107,39,74,391,8,4,50
2412,-107,45,74,391,17,16,51
2412,-107,27,81,385,7,13,55
2412,-107,26,81,385,7,14,54
2412,-107,37,81,385,8,13,55
2412,-107,29,81,385,8,12,55
2412,-107,27,81,385,7,13,54
2412,-107,41,81,385,8,13,54
2412,-107,35,81,385,8,12,54
2412,-107,33,81,385,8,13,55
2412,-107,92,75,391,14,7,53
2412,-107,31,81,385,8,14,55
2412,-107,23,81,385,9,13,55
2412,-107,30,81,385,7,17,57
2412,-107,26,81,385,6,15,56
2412,-107,27,81,385,12,15,56
2412,-107,29,74,392,8,14,49
2412,-107,32,74,392,8,15,49
2412,-107,29,81,385,11,18,57
2412,-107,20,81,385,8,11,54
2412,-107,44,81,385,8,13,56
2412,-107,72,79,386,13,7,54
2412,-107,90,80,385,13,9,55
2412,-107,41,81,385,5,13,54
2412,-107,31,81,385,8,13,54
2412,-107,21,81,385,8,11,54
2412,-107,23,81,385,7,13,54
2412,-107,28,81,385,6,14,54
2412,-107,46,81,385,7,13,55
2412,-107,38,81,385,6,12,55
2412,-107,22,81,385,8,13,54
2412,-107,84,81,385,16,11,54
2412,-107,21,81,385,8,12,53
2412,-107,27,81,385,8,13,54
2412,-107,29,81,385,7,12,53
2412,-107,27,81,385,7,12,55
2417,-102,21,81,380,4,13,54
2417,-102,26,81,380,6,14,54
2417,-102,22,81,380,6,12,53
2417,-102,29,81,380,4,13,54
2417,-102,38,81,380,4,12,54
2417,-102,32,81,380,4,15,54
2417,-102,88,69,391,18,15,53
2417,-102,99,70,390,17,18,53
2417,-102,52,74,387,5,12,49
2417,-102,37,74,387,6,15,49
2417,-102,44,74,387,5,11,49
2417,-102,36,74,387,5,11,48
2417,-102,40,74,387,5,14,49
2417,-102,42,74,387,4,11,49
2417,-102,43,74,387,6,12,48
2417,-102,29,74,387,6,11,48
2417,-102,40,74,387,5,13,49
2417,-102,38,74,387,5,14,49
2417,-102,42,74,387,5,14,49
2417,-102,43,74,387,6,11,49
2417,-102,40,74,387,6,13,49
2417,-102,32,74,387,6,12,47
2417,-102,29,74,387,6,13,47
2417,-102,38,74,387,7,14,48
2417,-102,32,74,387,4,12,48
2417,-102,44,74,387,12,12,52
2417,-102,42,74,387,5,12,49
2417,-102,49,74,387,6,13,49
2417,-102,34,74,387,4,12,48
2417,-102,33,74,387,4,10,46
2417,-102,35,74,387,5,15,49
2417,-102,34,74,387,4,11,48
2417,-102,33,74,387,4,13,49
2417,-102,33,74,387,5,14,48
2417,-102,42,81,380,9,17,57
2417,-102,27,81,380,5,10,53
2417,-102,45,81,380,9,15,57
2417,-102,48,81,380,6,14,55
2417,-102,44,81,380,3,13,53
2417,-102,30,81,380,3,12,52
2417,-102,29,74,386,5,13,49
2417,-102,34,81,380,6,14,56
2417,-102,42,81,380,6,12,55
